MJD(days),Predicted PT-TT(s)
56816.9238449734,0.10111027
56817.9238449734,0.101155855
56818.9238449734,0.10114167
56819.9238449734,0.10107679
56820.9238449734,0.10096823
56821.9238449734,0.10082411
56822.9238449734,0.10064633
56823.9238449734,0.10043767
56824.9238449734,0.10020884
56825.9238449734,0.09996585
56826.9238449734,0.099717826
56827.9238449734,0.09946847
56828.9238449734,0.09922076
56829.9238449734,0.0989786
56830.9238449734,0.098743506
56831.9238449734,0.09851631
56832.9238449734,0.0982996
56833.9238449734,0.098094955
56834.9238449734,0.09790149
56835.9238449734,0.09772129
56836.9238449734,0.097552404
56837.9238449734,0.09739412
56838.9238449734,0.09724551
56839.9238449734,0.09710505
56840.9238449734,0.09697141
56841.9238449734,0.09684235
56842.9238449734,0.09671473
56843.9238449734,0.09658543
56844.9238449734,0.09645117
56845.9238449734,0.0963076
56846.9238449734,0.096149325
56847.9238449734,0.09597134
56848.9238449734,0.09576764
56849.9238449734,0.09553331
56850.9238449734,0.09526091
56851.9238449734,0.09494212
56852.9238449734,0.094568655
56853.9238449734,0.094132565
56854.9238449734,0.09362412
56855.9238449734,0.09303009
56856.9238449734,0.09233709
56857.9238449734,0.091536775
56858.9238449734,0.09061948
56859.9238449734,0.08956651
56860.9238449734,0.08836112
56861.9238449734,0.08699335
56862.9238449734,0.08545814
56863.9238449734,0.08376842
56864.9238449734,0.081958786
56865.9238449734,0.080004565
56866.9238449734,0.07791113
56867.9238449734,0.07567234
56868.9238449734,0.073316544
56869.9238449734,0.070860766
56870.9238449734,0.06833513
56871.9238449734,0.06577087
56872.9238449734,0.063186124
56873.9238449734,0.060666602
56874.9238449734,0.058194187
56875.9238449734,0.055817463
56876.9238449734,0.053594485
56877.9238449734,0.051523905
56878.9238449734,0.049595695
56879.9238449734,0.04778811
56880.9238449734,0.046095077
56881.9238449734,0.04446689
56882.9238449734,0.04281066
56883.9238449734,0.041149285
56884.9238449734,0.0394398
56885.9238449734,0.03774538
56886.9238449734,0.03608163
56887.9238449734,0.034435514
56888.9238449734,0.03275445
56889.9238449734,0.031032052
56890.9238449734,0.02927055
56891.9238449734,0.027054606
56892.9238449734,0.02441273
56893.9238449734,0.021484833
56894.9238449734,0.0182049
56895.9238449734,0.014317696
56896.9238449734,0.010072212
56897.9238449734,0.00565667
56898.9238449734,0.0007833888
56899.9238449734,-0.0051113735
56900.9238449734,-0.010843259
56901.9238449734,-0.01624465
56902.9238449734,-0.021752482
56903.9238449734,-0.027104706
56904.9238449734,-0.032243326
56905.9238449734,-0.03688849
56906.9238449734,-0.040840127
56907.9238449734,-0.04419045
56908.9238449734,-0.047057945
56909.9238449734,-0.049641237
56910.9238449734,-0.051900398
56911.9238449734,-0.054113522
56912.9238449734,-0.056487836
56913.9238449734,-0.058977515
56914.9238449734,-0.061237697
56915.9238449734,-0.063718475
56916.9238449734,-0.066198274
56917.9238449734,-0.06843671
56918.9238449734,-0.07057991
56919.9238449734,-0.07271032
56920.9238449734,-0.07513402
56921.9238449734,-0.07742753
56922.9238449734,-0.079867944
56923.9238449734,-0.08262783
56924.9238449734,-0.08593641
56925.9238449734,-0.088185646
56926.9238449734,-0.09028438
56927.9238449734,-0.092084505
56928.9238449734,-0.09341504
56929.9238449734,-0.094412915
56930.9238449734,-0.095171385
56931.9238449734,-0.09555452
56932.9238449734,-0.095697545
56933.9238449734,-0.095788546
56934.9238449734,-0.0958336
56935.9238449734,-0.09584284
56936.9238449734,-0.09581849
56937.9238449734,-0.095762946
56938.9238449734,-0.095677614
56939.9238449734,-0.09556458
56940.9238449734,-0.09542929
56941.9238449734,-0.095275484
56942.9238449734,-0.09510767
56943.9238449734,-0.094930165
56944.9238449734,-0.09474854
56945.9238449734,-0.09456613
56946.9238449734,-0.09438791
56947.9238449734,-0.09421791
56948.9238449734,-0.09406183
56949.9238449734,-0.09393064
56950.9238449734,-0.09381911
56951.9238449734,-0.093727894
56952.9238449734,-0.09365965
56953.9238449734,-0.09346073
56954.9238449734,-0.09320953
56955.9238449734,-0.092980586
56956.9238449734,-0.09277631
56957.9238449734,-0.09260109
56958.9238449734,-0.092448056
56959.9238449734,-0.092320345
56960.9238449734,-0.09221558
56961.9238449734,-0.09213677
56962.9238449734,-0.09208271
56963.9238449734,-0.09205016
56964.9238449734,-0.09204016
56965.9238449734,-0.09205243
56966.9238449734,-0.0920871
56967.9238449734,-0.09214078
56968.9238449734,-0.09221248
56969.9238449734,-0.09229799
56970.9238449734,-0.09239789
56971.9238449734,-0.09250322
56972.9238449734,-0.09260714
56973.9238449734,-0.092710875
56974.9238449734,-0.092810616
56975.9238449734,-0.09291431
56976.9238449734,-0.09302055
56977.9238449734,-0.0930691
56978.9238449734,-0.09295314
56979.9238449734,-0.092883356
56980.9238449734,-0.09288657
56981.9238449734,-0.092925355
56982.9238449734,-0.09298276
56983.9238449734,-0.09319328
56984.9238449734,-0.093495026
56985.9238449734,-0.09396306
56986.9238449734,-0.09450741
56987.9238449734,-0.095098004
56988.9238449734,-0.0957415
56989.9238449734,-0.0963365
56990.9238449734,-0.09688278
56991.9238449734,-0.09738319
56992.9238449734,-0.09784206
56993.9238449734,-0.09825446
56994.9238449734,-0.098653995
56995.9238449734,-0.09904565
56996.9238449734,-0.0994205
56997.9238449734,-0.09977162
56998.9238449734,-0.1000805
56999.9238449734,-0.10035272
57000.9238449734,-0.10060918
57001.9238449734,-0.10085287
57002.9238449734,-0.101079404
57003.9238449734,-0.10128717
57004.9238449734,-0.10150189
57005.9238449734,-0.10169807
57006.9238449734,-0.10187033
57007.9238449734,-0.102005936
57008.9238449734,-0.1020874
57009.9238449734,-0.10213984
57010.9238449734,-0.1021652
